Offset: 0x2280, Avg Latency: 91 ns
Offset: 0x22c0, Avg Latency: 91 ns
Offset: 0x2300, Avg Latency: 92 ns
Offset: 0x2340, Avg Latency: 91 ns
Offset: 0x2380, Avg Latency: 91 ns
Offset: 0x23c0, Avg Latency: 90 ns
Offset: 0x2400, Avg Latency: 102 ns
Offset: 0x2440, Avg Latency: 90 ns
Offset: 0x2480, Avg Latency: 90 ns
Offset: 0x24c0, Avg Latency: 90 ns
Offset: 0x2500, Avg Latency: 90 ns
Offset: 0x2540, Avg Latency: 89 ns
Offset: 0x2580, Avg Latency: 90 ns
Offset: 0x25c0, Avg Latency: 229 ns
Offset: 0x2600, Avg Latency: 167 ns
Offset: 0x2640, Avg Latency: 228 ns
Offset: 0x2680, Avg Latency: 91 ns
Offset: 0x26c0, Avg Latency: 90 ns
Offset: 0x2700, Avg Latency: 90 ns
Offset: 0x2740, Avg Latency: 91 ns
Offset: 0x2780, Avg Latency: 91 ns
Offset: 0x27c0, Avg Latency: 203 ns
Offset: 0x2800, Avg Latency: 90 ns
Offset: 0x2840, Avg Latency: 90 ns
Offset: 0x2880, Avg Latency: 90 ns
Offset: 0x28c0, Avg Latency: 91 ns
Offset: 0x2900, Avg Latency: 99 ns
Offset: 0x2940, Avg Latency: 109 ns
Offset: 0x2980, Avg Latency: 90 ns
Offset: 0x29c0, Avg Latency: 89 ns
Offset: 0x2a00, Avg Latency: 93 ns
Offset: 0x2a40, Avg Latency: 91 ns
Offset: 0x2a80, Avg Latency: 92 ns
Offset: 0x2ac0, Avg Latency: 93 ns
Offset: 0x2b00, Avg Latency: 93 ns
Offset: 0x2b40, Avg Latency: 92 ns
Offset: 0x2b80, Avg Latency: 105 ns
Offset: 0x2bc0, Avg Latency: 92 ns
Offset: 0x2c00, Avg Latency: 89 ns
Offset: 0x2c40, Avg Latency: 90 ns
Offset: 0x2c80, Avg Latency: 91 ns
Offset: 0x2cc0, Avg Latency: 91 ns
Offset: 0x2d00, Avg Latency: 90 ns
Offset: 0x2d40, Avg Latency: 91 ns
Offset: 0x2d80, Avg Latency: 90 ns
Offset: 0x2dc0, Avg Latency: 91 ns
Offset: 0x2e00, Avg Latency: 92 ns
Offset: 0x2e40, Avg Latency: 93 ns
Offset: 0x2e80, Avg Latency: 93 ns
Offset: 0x2ec0, Avg Latency: 93 ns
Offset: 0x2f00, Avg Latency: 92 ns
Offset: 0x2f40, Avg Latency: 93 ns
Offset: 0x2f80, Avg Latency: 107 ns
Offset: 0x2fc0, Avg Latency: 92 ns
Offset: 0x3000, Avg Latency: 116 ns
Offset: 0x3040, Avg Latency: 89 ns
Offset: 0x3080, Avg Latency: 154 ns
Offset: 0x30c0, Avg Latency: 89 ns
Offset: 0x3100, Avg Latency: 182 ns
Offset: 0x3140, Avg Latency: 97 ns
Offset: 0x3180, Avg Latency: 90 ns
Offset: 0x31c0, Avg Latency: 94 ns
Offset: 0x3200, Avg Latency: 153 ns
Offset: 0x3240, Avg Latency: 89 ns
Offset: 0x3280, Avg Latency: 90 ns
Offset: 0x32c0, Avg Latency: 90 ns
Offset: 0x3300, Avg Latency: 90 ns
Offset: 0x3340, Avg Latency: 90 ns
Offset: 0x3380, Avg Latency: 90 ns
Offset: 0x33c0, Avg Latency: 103 ns
Offset: 0x3400, Avg Latency: 104 ns
Offset: 0x3440, Avg Latency: 102 ns
Offset: 0x3480, Avg Latency: 103 ns
Offset: 0x34c0, Avg Latency: 102 ns
Offset: 0x3500, Avg Latency: 102 ns
Offset: 0x3540, Avg Latency: 101 ns
Offset: 0x3580, Avg Latency: 102 ns
Offset: 0x35c0, Avg Latency: 103 ns
Offset: 0x3600, Avg Latency: 118 ns
Offset: 0x3640, Avg Latency: 117 ns
Offset: 0x3680, Avg Latency: 118 ns
Offset: 0x36c0, Avg Latency: 102 ns
Offset: 0x3700, Avg Latency: 125 ns
Offset: 0x3740, Avg Latency: 103 ns
Offset: 0x3780, Avg Latency: 103 ns
Offset: 0x37c0, Avg Latency: 144 ns
Offset: 0x3800, Avg Latency: 179 ns
Offset: 0x3840, Avg Latency: 108 ns
